Author,Text,Connective,Section,Total,AccWorkspace
Philo,Philo Greek,μέν,Virt,151,Philo ala Buth
Philo,Philo Greek,μέν,Praem,139,Philo ala Buth
Philo,Philo Greek,μέν,Prob,100,Philo ala Buth
Philo,Philo Greek,μέν,Contempl,74,Philo ala Buth
Philo,Philo Greek,μέν,Aet,130,Philo ala Buth
Philo,Philo Greek,μέν,Flacc,94,Philo ala Buth
Philo,Philo Greek,μέν,Legat,175,Philo ala Buth
Philo,Philo Greek,μέν,Hypoth,18,Philo ala Buth
Philo,Philo Greek,μέν,Prov,52,Philo ala Buth
Philo,Philo Greek,μέν,1QGen,96,Philo ala Buth
Philo,Philo Greek,μέν,2QGen,4,Philo ala Buth
Philo,Philo Greek,μέν,3QGen,16,Philo ala Buth
Philo,Philo Greek,μέν,1QEx,25,Philo ala Buth
Philo,Philo Greek,μέν,2QEx,10,Philo ala Buth
Philo,Philo Greek,οὖν,Opif,28,Philo ala Buth
Philo,Philo Greek,οὖν,Legum,191,Philo ala Buth
Philo,Philo Greek,οὖν,Cher,29,Philo ala Buth
Philo,Philo Greek,οὖν,Sacr,55,Philo ala Buth
Philo,Philo Greek,οὖν,Det,62,Philo ala Buth
Philo,Philo Greek,οὖν,Post,51,Philo ala Buth
Philo,Philo Greek,οὖν,Gig,18,Philo ala Buth
Philo,Philo Greek,οὖν,Deus,45,Philo ala Buth
Philo,Philo Greek,οὖν,Agr,45,Philo ala Buth
Philo,Philo Greek,οὖν,Plant,46,Philo ala Buth
Philo,Philo Greek,οὖν,Ebr,40,Philo ala Buth
Philo,Philo Greek,οὖν,Sobr,12,Philo ala Buth
Philo,Philo Greek,οὖν,Conf,28,Philo ala Buth
Philo,Philo Greek,οὖν,Migr,42,Philo ala Buth
Philo,Philo Greek,οὖν,Her,73,Philo ala Buth
Philo,Philo Greek,οὖν,Congr,47,Philo ala Buth
Philo,Philo Greek,οὖν,Fug,63,Philo ala Buth
Philo,Philo Greek,οὖν,Mut,63,Philo ala Buth
Philo,Philo Greek,οὖν,Somn,104,Philo ala Buth
Philo,Philo Greek,οὖν,Abr,54,Philo ala Buth
Philo,Philo Greek,οὖν,Ios,30,Philo ala Buth
Philo,Philo Greek,οὖν,Moys,75,Philo ala Buth
Philo,Philo Greek,οὖν,Decal,30,Philo ala Buth
Philo,Philo Greek,οὖν,Spec,154,Philo ala Buth
Philo,Philo Greek,οὖν,Virt,23,Philo ala Buth
Philo,Philo Greek,οὖν,Praem,32,Philo ala Buth
Philo,Philo Greek,οὖν,Prob,25,Philo ala Buth
Philo,Philo Greek,οὖν,Contempl,10,Philo ala Buth
Philo,Philo Greek,οὖν,Aet,27,Philo ala Buth
Philo,Philo Greek,οὖν,Flacc,14,Philo ala Buth
Philo,Philo Greek,οὖν,Legat,46,Philo ala Buth
Philo,Philo Greek,οὖν,Hypoth,5,Philo ala Buth
Philo,Philo Greek,οὖν,Prov,13,Philo ala Buth
Philo,Philo Greek,οὖν,1QGen,25,Philo ala Buth
Philo,Philo Greek,οὖν,2QGen,2,Philo ala Buth
Philo,Philo Greek,οὖν,3QGen,1,Philo ala Buth
Philo,Philo Greek,οὖν,1QEx,1,Philo ala Buth
Philo,Philo Greek,οὖν,2QEx,0,Philo ala Buth
Philo,Philo Greek,ὥστε,Opif,2,Philo ala Buth
Philo,Philo Greek,ὥστε,Legum,34,Philo ala Buth
Philo,Philo Greek,ὥστε,Cher,3,Philo ala Buth
Philo,Philo Greek,ὥστε,Sacr,13,Philo ala Buth
Philo,Philo Greek,ὥστε,Det,15,Philo ala Buth
Philo,Philo Greek,ὥστε,Post,17,Philo ala Buth
Philo,Philo Greek,ὥστε,Gig,4,Philo ala Buth
Philo,Philo Greek,ὥστε,Deus,9,Philo ala Buth
Philo,Philo Greek,ὥστε,Agr,9,Philo ala Buth
Philo,Philo Greek,ὥστε,Plant,14,Philo ala Buth
Philo,Philo Greek,ὥστε,Ebr,5,Philo ala Buth
Philo,Philo Greek,ὥστε,Sobr,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Conf,7,Philo ala Buth
Philo,Philo Greek,ὥστε,Migr,7,Philo ala Buth
Philo,Philo Greek,ὥστε,Her,18,Philo ala Buth
Philo,Philo Greek,ὥστε,Congr,11,Philo ala Buth
Philo,Philo Greek,ὥστε,Fug,4,Philo ala Buth
Philo,Philo Greek,ὥστε,Mut,10,Philo ala Buth
Philo,Philo Greek,ὥστε,Somn,18,Philo ala Buth
Philo,Philo Greek,ὥστε,Abr,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Ios,4,Philo ala Buth
Philo,Philo Greek,ὥστε,Moys,7,Philo ala Buth
Philo,Philo Greek,ὥστε,Decal,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Spec,28,Philo ala Buth
Philo,Philo Greek,ὥστε,Virt,4,Philo ala Buth
Philo,Philo Greek,ὥστε,Praem,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Prob,8,Philo ala Buth
Philo,Philo Greek,ὥστε,Contempl,3,Philo ala Buth
Philo,Philo Greek,ὥστε,Aet,13,Philo ala Buth
Philo,Philo Greek,ὥστε,Flacc,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Legat,10,Philo ala Buth
Philo,Philo Greek,ὥστε,Hypoth,1,Philo ala Buth
Philo,Philo Greek,ὥστε,Prov,1,Philo ala Buth
Philo,Philo Greek,ὥστε,1QGen,6,Philo ala Buth
Philo,Philo Greek,ὥστε,2QGen,0,Philo ala Buth
Philo,Philo Greek,ὥστε,3QGen,0,Philo ala Buth
Philo,Philo Greek,ὥστε,1QEx,1,Philo ala Buth
Philo,Philo Greek,ὥστε,2QEx,2,Philo ala Buth
Philo,Philo Greek,γέ,Opif,7,Philo ala Buth
Philo,Philo Greek,γέ,Legum,56,Philo ala Buth
Philo,Philo Greek,γέ,Cher,6,Philo ala Buth
Philo,Philo Greek,γέ,Sacr,15,Philo ala Buth
Philo,Philo Greek,γέ,Det,16,Philo ala Buth
Philo,Philo Greek,γέ,Post,23,Philo ala Buth
Philo,Philo Greek,γέ,Gig,3,Philo ala Buth
Philo,Philo Greek,γέ,Deus,13,Philo ala Buth
Philo,Philo Greek,γέ,Agr,16,Philo ala Buth
Philo,Philo Greek,γέ,Plant,13,Philo ala Buth
Philo,Philo Greek,γέ,Ebr,13,Philo ala Buth
Philo,Philo Greek,γέ,Sobr,3,Philo ala Buth
Philo,Philo Greek,γέ,Conf,19,Philo ala Buth
Philo,Philo Greek,γέ,Migr,9,Philo ala Buth
Philo,Philo Greek,γέ,Her,13,Philo ala Buth
Philo,Philo Greek,γέ,Congr,7,Philo ala Buth
Philo,Philo Greek,γέ,Fug,18,Philo ala Buth
Philo,Philo Greek,γέ,Mut,13,Philo ala Buth
Philo,Philo Greek,γέ,Somn,31,Philo ala Buth
Philo,Philo Greek,γέ,Abr,16,Philo ala Buth
Philo,Philo Greek,γέ,Ios,3,Philo ala Buth
Philo,Philo Greek,γέ,Moys,15,Philo ala Buth
Philo,Philo Greek,γέ,Decal,10,Philo ala Buth
Philo,Philo Greek,γέ,Spec,37,Philo ala Buth
Philo,Philo Greek,γέ,Virt,19,Philo ala Buth
Philo,Philo Greek,γέ,Praem,7,Philo ala Buth
Philo,Philo Greek,γέ,Prob,12,Philo ala Buth
Philo,Philo Greek,γέ,Contempl,4,Philo ala Buth
Philo,Philo Greek,γέ,Aet,21,Philo ala Buth
Philo,Philo Greek,γέ,Flacc,9,Philo ala Buth
Philo,Philo Greek,γέ,Legat,15,Philo ala Buth
Philo,Philo Greek,γέ,Hypoth,10,Philo ala Buth
Philo,Philo Greek,γέ,Prov,4,Philo ala Buth
Philo,Philo Greek,γέ,1QGen,4,Philo ala Buth
Philo,Philo Greek,γέ,2QGen,0,Philo ala Buth
Philo,Philo Greek,γέ,3QGen,0,Philo ala Buth
Philo,Philo Greek,γέ,1QEx,1,Philo ala Buth
Philo,Philo Greek,γέ,2QEx,1,Philo ala Buth
Philo,Philo Greek,γάρ,Opif,166,Philo ala Buth
Philo,Philo Greek,γάρ,Legum,580,Philo ala Buth
Philo,Philo Greek,γάρ,Cher,92,Philo ala Buth
Philo,Philo Greek,γάρ,Sacr,121,Philo ala Buth
Philo,Philo Greek,γάρ,Det,163,Philo ala Buth
Philo,Philo Greek,γάρ,Post,190,Philo ala Buth
Philo,Philo Greek,γάρ,Gig,47,Philo ala Buth
Philo,Philo Greek,γάρ,Deus,143,Philo ala Buth
Philo,Philo Greek,γάρ,Agr,123,Philo ala Buth
Philo,Philo Greek,γάρ,Plant,119,Philo ala Buth
Philo,Philo Greek,γάρ,Ebr,154,Philo ala Buth
Philo,Philo Greek,γάρ,Sobr,51,Philo ala Buth
Philo,Philo Greek,γάρ,Conf,141,Philo ala Buth
Philo,Philo Greek,γάρ,Migr,221,Philo ala Buth
Philo,Philo Greek,γάρ,Her,244,Philo ala Buth
Philo,Philo Greek,γάρ,Congr,165,Philo ala Buth
Philo,Philo Greek,γάρ,Fug,195,Philo ala Buth
Philo,Philo Greek,γάρ,Mut,227,Philo ala Buth
Philo,Philo Greek,γάρ,Somn,354,Philo ala Buth
Philo,Philo Greek,γάρ,Abr,154,Philo ala Buth
Philo,Philo Greek,γάρ,Ios,151,Philo ala Buth
Philo,Philo Greek,γάρ,Moys,322,Philo ala Buth
Philo,Philo Greek,γάρ,Decal,99,Philo ala Buth
Philo,Philo Greek,γάρ,Spec,616,Philo ala Buth
Philo,Philo Greek,γάρ,Virt,133,Philo ala Buth
Philo,Philo Greek,γάρ,Praem,110,Philo ala Buth
Philo,Philo Greek,γάρ,Prob,85,Philo ala Buth
Philo,Philo Greek,γάρ,Contempl,49,Philo ala Buth
Philo,Philo Greek,γάρ,Aet,123,Philo ala Buth
Philo,Philo Greek,γάρ,Flacc,96,Philo ala Buth
Philo,Philo Greek,γάρ,Legat,214,Philo ala Buth
Philo,Philo Greek,γάρ,Hypoth,21,Philo ala Buth
Philo,Philo Greek,γάρ,Prov,59,Philo ala Buth
Philo,Philo Greek,γάρ,1QGen,146,Philo ala Buth
Philo,Philo Greek,γάρ,2QGen,12,Philo ala Buth
Philo,Philo Greek,γάρ,3QGen,17,Philo ala Buth
Philo,Philo Greek,γάρ,1QEx,31,Philo ala Buth
Philo,Philo Greek,γάρ,2QEx,14,Philo ala Buth
Philo,Philo Greek,ἀλλά,Opif,51,Philo ala Buth
Philo,Philo Greek,ἀλλά,Legum,290,Philo ala Buth
Philo,Philo Greek,ἀλλά,Cher,41,Philo ala Buth
Philo,Philo Greek,ἀλλά,Sacr,66,Philo ala Buth
Philo,Philo Greek,ἀλλά,Det,76,Philo ala Buth
Philo,Philo Greek,ἀλλά,Post,65,Philo ala Buth
Philo,Philo Greek,ἀλλά,Gig,21,Philo ala Buth
Philo,Philo Greek,ἀλλά,Deus,64,Philo ala Buth
Philo,Philo Greek,ἀλλά,Agr,70,Philo ala Buth
Philo,Philo Greek,ἀλλά,Plant,64,Philo ala Buth
Philo,Philo Greek,ἀλλά,Ebr,89,Philo ala Buth
Philo,Philo Greek,ἀλλά,Sobr,25,Philo ala Buth
Philo,Philo Greek,ἀλλά,Conf,87,Philo ala Buth
Philo,Philo Greek,ἀλλά,Migr,92,Philo ala Buth
Philo,Philo Greek,ἀλλά,Her,116,Philo ala Buth
Philo,Philo Greek,ἀλλά,Congr,58,Philo ala Buth
Philo,Philo Greek,ἀλλά,Fug,75,Philo ala Buth
Philo,Philo Greek,ἀλλά,Mut,95,Philo ala Buth
Philo,Philo Greek,ἀλλά,Somn,218,Philo ala Buth
Philo,Philo Greek,ἀλλά,Abr,106,Philo ala Buth
Philo,Philo Greek,ἀλλά,Ios,104,Philo ala Buth
Philo,Philo Greek,ἀλλά,Moys,222,Philo ala Buth
Philo,Philo Greek,ἀλλά,Decal,53,Philo ala Buth
Philo,Philo Greek,ἀλλά,Spec,412,Philo ala Buth
Philo,Philo Greek,ἀλλά,Virt,111,Philo ala Buth
Philo,Philo Greek,ἀλλά,Praem,53,Philo ala Buth
Philo,Philo Greek,ἀλλά,Prob,63,Philo ala Buth
Philo,Philo Greek,ἀλλά,Contempl,43,Philo ala Buth
Philo,Philo Greek,ἀλλά,Aet,65,Philo ala Buth
Philo,Philo Greek,ἀλλά,Flacc,62,Philo ala Buth
Philo,Philo Greek,ἀλλά,Legat,131,Philo ala Buth
Philo,Philo Greek,ἀλλά,Hypoth,30,Philo ala Buth
Philo,Philo Greek,ἀλλά,Prov,30,Philo ala Buth
Philo,Philo Greek,ἀλλά,1QGen,87,Philo ala Buth
Philo,Philo Greek,ἀλλά,2QGen,7,Philo ala Buth
Philo,Philo Greek,ἀλλά,3QGen,2,Philo ala Buth
Philo,Philo Greek,ἀλλά,1QEx,14,Philo ala Buth
Philo,Philo Greek,ἀλλά,2QEx,6,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Opif,10,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Legum,9,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Cher,14,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Sacr,4,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Det,13,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Post,6,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Gig,3,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Deus,3,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Agr,6,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Plant,6,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Ebr,13,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Sobr,2,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Conf,5,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Migr,11,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Her,11,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Congr,7,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Fug,10,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Mut,11,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Somn,26,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Abr,13,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Ios,18,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Moys,30,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Decal,6,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Spec,50,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Virt,14,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Praem,9,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Prob,12,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Contempl,7,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Aet,9,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Flacc,10,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Legat,31,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Hypoth,7,Philo ala Buth
Philo,Philo Greek,μᾶλλον,Prov,4,Philo ala Buth
Philo,Philo Greek,μᾶλλον,1QGen,16,Philo ala Buth
Philo,Philo Greek,μᾶλλον,2QGen,0,Philo ala Buth
Philo,Philo Greek,μᾶλλον,3QGen,1,Philo ala Buth
Philo,Philo Greek,μᾶλλον,1QEx,7,Philo ala Buth
Philo,Philo Greek,μᾶλλον,2QEx,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Opif,4,Philo ala Buth
Philo,Philo Greek,πλὴν,Legum,6,Philo ala Buth
Philo,Philo Greek,πλὴν,Cher,5,Philo ala Buth
Philo,Philo Greek,πλὴν,Sacr,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Det,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Post,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Gig,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Deus,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Agr,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Plant,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Ebr,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Sobr,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Conf,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Migr,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Her,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Congr,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Fug,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Mut,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Somn,3,Philo ala Buth
Philo,Philo Greek,πλὴν,Abr,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Ios,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Moys,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Decal,0,Philo ala Buth
Philo,Philo Greek,πλὴν,Spec,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Virt,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Praem,3,Philo ala Buth
Philo,Philo Greek,πλὴν,Prob,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Contempl,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Aet,3,Philo ala Buth
Philo,Philo Greek,πλὴν,Flacc,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Legat,2,Philo ala Buth
Philo,Philo Greek,πλὴν,Hypoth,1,Philo ala Buth
Philo,Philo Greek,πλὴν,Prov,1,Philo ala Buth
Philo,Philo Greek,πλὴν,1QGen,2,Philo ala Buth
Philo,Philo Greek,πλὴν,2QGen,0,Philo ala Buth
Philo,Philo Greek,πλὴν,3QGen,0,Philo ala Buth
Philo,Philo Greek,πλὴν,1QEx,0,Philo ala Buth
Philo,Philo Greek,πλὴν,2QEx,0,Philo ala Buth
Philo,Philo Greek,καί,Opif,872,Philo ala Buth
Philo,Philo Greek,καί,Legum,2087,Philo ala Buth
Philo,Philo Greek,καί,Cher,484,Philo ala Buth
Philo,Philo Greek,καί,Sacr,578,Philo ala Buth
Philo,Philo Greek,καί,Det,593,Philo ala Buth
Philo,Philo Greek,καί,Post,604,Philo ala Buth
Philo,Philo Greek,καί,Gig,235,Philo ala Buth
Philo,Philo Greek,καί,Deus,516,Philo ala Buth
Philo,Philo Greek,καί,Agr,655,Philo ala Buth
Philo,Philo Greek,καί,Plant,533,Philo ala Buth
Philo,Philo Greek,καί,Ebr,865,Philo ala Buth
Philo,Philo Greek,καί,Sobr,218,Philo ala Buth
Philo,Philo Greek,καί,Conf,594,Philo ala Buth
Philo,Philo Greek,καί,Migr,801,Philo ala Buth
Philo,Philo Greek,καί,Her,1050,Philo ala Buth
Philo,Philo Greek,καί,Congr,581,Philo ala Buth
Philo,Philo Greek,καί,Fug,638,Philo ala Buth
Philo,Philo Greek,καί,Mut,789,Philo ala Buth
Philo,Philo Greek,καί,Somn,1780,Philo ala Buth
Philo,Philo Greek,καί,Abr,854,Philo ala Buth
Philo,Philo Greek,καί,Ios,813,Philo ala Buth
Philo,Philo Greek,καί,Moys,1916,Philo ala Buth
Philo,Philo Greek,καί,Decal,571,Philo ala Buth
Philo,Philo Greek,καί,Spec,3897,Philo ala Buth
Philo,Philo Greek,καί,Virt,765,Philo ala Buth
Philo,Philo Greek,καί,Praem,645,Philo ala Buth
Philo,Philo Greek,καί,Prob,417,Philo ala Buth
Philo,Philo Greek,καί,Contempl,321,Philo ala Buth
Philo,Philo Greek,καί,Aet,487,Philo ala Buth
Philo,Philo Greek,καί,Flacc,546,Philo ala Buth
Philo,Philo Greek,καί,Legat,1146,Philo ala Buth
Philo,Philo Greek,καί,Hypoth,168,Philo ala Buth
Philo,Philo Greek,καί,Prov,238,Philo ala Buth
Philo,Philo Greek,καί,1QGen,501,Philo ala Buth
Philo,Philo Greek,καί,2QGen,54,Philo ala Buth
Philo,Philo Greek,καί,3QGen,67,Philo ala Buth
Philo,Philo Greek,καί,1QEx,124,Philo ala Buth
Philo,Philo Greek,καί,2QEx,68,Philo ala Buth
Philo,Philo Greek,δέ,Opif,444,Philo ala Buth
Philo,Philo Greek,δέ,Legum,850,Philo ala Buth
Philo,Philo Greek,δέ,Cher,226,Philo ala Buth
Philo,Philo Greek,δέ,Sacr,225,Philo ala Buth
Philo,Philo Greek,δέ,Det,308,Philo ala Buth
Philo,Philo Greek,δέ,Post,289,Philo ala Buth
Philo,Philo Greek,δέ,Gig,98,Philo ala Buth
Philo,Philo Greek,δέ,Deus,231,Philo ala Buth
Philo,Philo Greek,δέ,Agr,228,Philo ala Buth
Philo,Philo Greek,δέ,Plant,218,Philo ala Buth
Philo,Philo Greek,δέ,Ebr,279,Philo ala Buth
Philo,Philo Greek,δέ,Sobr,91,Philo ala Buth
Philo,Philo Greek,δέ,Conf,222,Philo ala Buth
Philo,Philo Greek,δέ,Migr,280,Philo ala Buth
Philo,Philo Greek,δέ,Her,471,Philo ala Buth
Philo,Philo Greek,δέ,Congr,260,Philo ala Buth
Philo,Philo Greek,δέ,Fug,319,Philo ala Buth
Philo,Philo Greek,δέ,Mut,376,Philo ala Buth
Philo,Philo Greek,δέ,Somn,670,Philo ala Buth
Philo,Philo Greek,δέ,Abr,385,Philo ala Buth
Philo,Philo Greek,δέ,Ios,317,Philo ala Buth
Philo,Philo Greek,δέ,Moys,849,Philo ala Buth
Philo,Philo Greek,δέ,Decal,208,Philo ala Buth
Philo,Philo Greek,δέ,Spec,1399,Philo ala Buth
Philo,Philo Greek,δέ,Virt,271,Philo ala Buth
Philo,Philo Greek,δέ,Praem,241,Philo ala Buth
Philo,Philo Greek,δέ,Prob,207,Philo ala Buth
Philo,Philo Greek,δέ,Contempl,133,Philo ala Buth
Philo,Philo Greek,δέ,Aet,320,Philo ala Buth
Philo,Philo Greek,δέ,Flacc,204,Philo ala Buth
Philo,Philo Greek,δέ,Legat,374,Philo ala Buth
Philo,Philo Greek,δέ,Hypoth,50,Philo ala Buth
Philo,Philo Greek,δέ,Prov,123,Philo ala Buth
Philo,Philo Greek,δέ,1QGen,220,Philo ala Buth
Philo,Philo Greek,δέ,2QGen,8,Philo ala Buth
Philo,Philo Greek,δέ,3QGen,35,Philo ala Buth
Philo,Philo Greek,δέ,1QEx,55,Philo ala Buth
Philo,Philo Greek,δέ,2QEx,25,Philo ala Buth
Luke,NA28 GNT,τε,Luke,9,Buth Luke
Luke,NA28 GNT,μέν,Luke,10,Buth Luke
Luke,NA28 GNT,οὖν,Luke,33,Buth Luke
Luke,NA28 GNT,ὥστε,Luke,4,Buth Luke
Luke,NA28 GNT,γέ,Luke,8,Buth Luke
Luke,NA28 GNT,γάρ,Luke,97,Buth Luke
Luke,NA28 GNT,ἀλλά,Luke,35,Buth Luke
Luke,NA28 GNT,μᾶλλον,Luke,5,Buth Luke
Luke,NA28 GNT,πλὴν,Luke,15,Buth Luke
Luke,NA28 GNT,καί,Luke,1483,Buth Luke
Luke,NA28 GNT,δέ,Luke,542,Buth Luke
Luke,NA28 GNT,τε,1 Acts,67,Buth 1 Acts
Luke,NA28 GNT,μέν,1 Acts,23,Buth 1 Acts
Luke,NA28 GNT,οὖν,1 Acts,29,Buth 1 Acts
Luke,NA28 GNT,ὥστε,1 Acts,3,Buth 1 Acts
Luke,NA28 GNT,γέ,1 Acts,2,Buth 1 Acts
Luke,NA28 GNT,γάρ,1 Acts,34,Buth 1 Acts
Luke,NA28 GNT,ἀλλά,1 Acts,16,Buth 1 Acts
Luke,NA28 GNT,μᾶλλον,1 Acts,4,Buth 1 Acts
Luke,NA28 GNT,πλὴν,1 Acts,2,Buth 1 Acts
Luke,NA28 GNT,καί,1 Acts,702,Buth 1 Acts
Luke,NA28 GNT,δέ,1 Acts,283,Buth 1 Acts
Luke,NA28 GNT,τε,2 Acts,84,Buth 2 Acts
Luke,NA28 GNT,μέν,2 Acts,25,Buth 2 Acts
Luke,NA28 GNT,οὖν,2 Acts,32,Buth 2 Acts
Luke,NA28 GNT,ὥστε,2 Acts,5,Buth 2 Acts
Luke,NA28 GNT,γέ,2 Acts,2,Buth 2 Acts
Luke,NA28 GNT,γάρ,2 Acts,46,Buth 2 Acts
Luke,NA28 GNT,ἀλλά,2 Acts,14,Buth 2 Acts
Luke,NA28 GNT,μᾶλλον,2 Acts,3,Buth 2 Acts
Luke,NA28 GNT,πλὴν,2 Acts,2,Buth 2 Acts
Luke,NA28 GNT,καί,2 Acts,429,Buth 2 Acts
Luke,NA28 GNT,δέ,2 Acts,271,Buth 2 Acts
Matthew,NA28 GNT,τε,Matthew,3,Buth Matthew
Matthew,NA28 GNT,μέν,Matthew,20,Buth Matthew
Matthew,NA28 GNT,οὖν,Matthew,56,Buth Matthew
Matthew,NA28 GNT,ὥστε,Matthew,15,Buth Matthew
Matthew,NA28 GNT,γέ,Matthew,4,Buth Matthew
Matthew,NA28 GNT,γάρ,Matthew,124,Buth Matthew
Matthew,NA28 GNT,ἀλλά,Matthew,37,Buth Matthew
Matthew,NA28 GNT,μᾶλλον,Matthew,9,Buth Matthew
Matthew,NA28 GNT,πλὴν,Matthew,5,Buth Matthew
Matthew,NA28 GNT,καί,Matthew,1194,Buth Matthew
Matthew,NA28 GNT,δέ,Matthew,494,Buth Matthew
